listing_id,scrape_id,scraped_date,host_id,host_name,host_since,host_is_superhost,host_neighbourhood,listing_neighbourhood,property_type,room_type,accommodates,price,has_availability,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,source_file,year_month
29801693,20200000000000,2021-04-13,15739069,The Apartment Service,19/5/2014,f,Sydney,Mosman,Entire apartment,Entire home/apt,5,678.0,t,1,0,,,,,,,04_2021.csv,2021-04
29801834,20200000000000,2021-04-14,185404919,Helen,20/4/2018,t,,Hornsby,Entire house,Entire home/apt,4,125.0,t,20,108,98.0,10.0,10.0,10.0,10.0,10.0,04_2021.csv,2021-04
29802441,20200000000000,2021-04-12,224219473,Carolyn,4/11/2018,f,Bronte,Waverley,Private room in apartment,Private room,3,230.0,t,28,0,,,,,,,04_2021.csv,2021-04
29803948,20200000000000,2021-04-12,189661935,Daniel,15/5/2018,f,,Sydney,Private room in house,Private room,1,300.0,t,23,0,,,,,,,04_2021.csv,2021-04
29804281,20200000000000,2021-04-10,224230679,Chamaiporn,4/11/2018,f,,Sydney,Entire apartment,Entire home/apt,4,200.0,t,0,6,97.0,9.0,10.0,10.0,9.0,10.0,04_2021.csv,2021-04
29804590,20200000000000,2021-04-10,6018128,Quentin,21/4/2013,f,,Northern Beaches,Entire house,Entire home/apt,7,850.0,t,0,2,90.0,10.0,9.0,10.0,10.0,8.0,04_2021.csv,2021-04
29804815,20200000000000,2021-04-10,105915413,Thor,2/12/2016,f,Connells Point,Georges River,Entire house,Entire home/apt,16,464.0,t,0,1,100.0,10.0,10.0,10.0,10.0,10.0,04_2021.csv,2021-04
29805117,20200000000000,2021-04-12,293526132,MaisonNets,9/9/2019,t,Sydney,Sydney,Entire apartment,Entire home/apt,4,169.0,t,10,27,92.0,10.0,9.0,10.0,10.0,9.0,04_2021.csv,2021-04
29805402,20200000000000,2021-04-12,61734008,Alice,6/3/2016,f,Redfern,Sydney,Private room in apartment,Private room,1,35.0,t,0,5,100.0,10.0,10.0,10.0,10.0,10.0,04_2021.csv,2021-04
29805500,20200000000000,2021-04-10,10455103,Kristen,5/12/2013,f,Manly,Northern Beaches,Entire house,Entire home/apt,8,934.0,t,0,3,100.0,10.0,10.0,10.0,10.0,9.0,04_2021.csv,2021-04
29806012,20200000000000,2021-04-13,223577644,Melanie & Patrick,31/10/2018,t,Ashfield,Inner West,Entire house,Entire home/apt,6,165.0,t,0,47,92.0,9.0,9.0,9.0,9.0,9.0,04_2021.csv,2021-04
29806142,20200000000000,2021-04-12,73407853,Zoltan,22/5/2016,t,Darlinghurst,Sydney,Entire apartment,Entire home/apt,2,80.0,t,6,118,93.0,10.0,9.0,10.0,10.0,9.0,04_2021.csv,2021-04
29806349,20200000000000,2021-04-13,23554857,Lucy,10/11/2014,f,,Randwick,Entire apartment,Entire home/apt,2,78.0,t,0,2,100.0,10.0,10.0,10.0,10.0,10.0,04_2021.csv,2021-04
29806640,20200000000000,2021-04-10,7056367,Elana,22/6/2013,f,Bondi Beach,Waverley,Private room in apartment,Private room,2,85.0,f,0,1,100.0,10.0,10.0,10.0,10.0,10.0,04_2021.csv,2021-04
29806667,20200000000000,2021-04-13,159509984,静欣,20/11/2017,f,,Sydney,Private room in condominium,Private room,2,65.0,t,0,0,,,,,,,04_2021.csv,2021-04
