listing_id,scrape_id,scraped_date,host_id,host_name,host_since,host_is_superhost,host_neighbourhood,listing_neighbourhood,property_type,room_type,accommodates,price,has_availability,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,source_file,year_month
26718617,20200000000000,2020-08-20,90707096,Vipin,18/8/2016,f,Sydney,Sydney,Entire apartment,Entire home/apt,5,180.0,t,0,0,,,,,,,08_2020.csv,2020-08
26719217,20200000000000,2020-08-21,23007208,Alexis,26/10/2014,f,North Bondi,Waverley,Entire apartment,Entire home/apt,4,120.0,t,0,0,,,,,,,08_2020.csv,2020-08
26722654,20200000000000,2020-08-20,41348188,Natasha,13/8/2015,f,Bellevue Hill,Waverley,Entire apartment,Entire home/apt,7,210.0,t,0,0,,,,,,,08_2020.csv,2020-08
26725518,20200000000000,2020-08-22,200966022,Helen,9/7/2018,t,Marrickville,Inner West,Private room in house,Private room,2,70.0,t,30,20,94.0,10.0,9.0,10.0,10.0,9.0,08_2020.csv,2020-08
26725950,20200000000000,2020-08-22,195078405,Kevin,12/6/2018,f,,Hornsby,Private room in house,Private room,5,61.0,t,0,2,60.0,8.0,6.0,10.0,10.0,8.0,08_2020.csv,2020-08
26727492,20200000000000,2020-08-20,200973153,Sandy,9/7/2018,t,Petersham,Inner West,Private room in house,Private room,2,42.0,t,0,16,99.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26730689,20200000000000,2020-08-22,182524604,Pam,5/4/2018,f,Gladesville,Ryde,Private room in house,Private room,4,150.0,t,1,12,95.0,10.0,10.0,10.0,10.0,9.0,08_2020.csv,2020-08
26735808,20200000000000,2020-08-22,200966022,Helen,9/7/2018,t,Marrickville,Inner West,Private room in house,Private room,2,65.0,t,30,9,96.0,10.0,9.0,10.0,10.0,10.0,08_2020.csv,2020-08
26741641,20200000000000,2020-08-22,200966022,Helen,9/7/2018,t,Marrickville,Inner West,Private room in house,Private room,2,65.0,t,30,2,100.0,9.0,8.0,9.0,10.0,8.0,08_2020.csv,2020-08
26750764,20200000000000,2020-08-22,347608321,Calyn,25/5/2020,f,,Mosman,Entire guest suite,Entire home/apt,2,82.0,t,0,43,95.0,10.0,9.0,10.0,10.0,9.0,08_2020.csv,2020-08
26753096,20200000000000,2020-08-21,4729836,Marcello,16/1/2013,f,Forest Lodge,Sydney,Private room in hostel,Private room,1,55.0,t,29,8,93.0,9.0,9.0,10.0,10.0,9.0,08_2020.csv,2020-08
26754526,20200000000000,2020-08-21,201154431,Branksome,9/7/2018,f,Mascot,Bayside,Room in serviced apartment,Hotel room,6,419.0,t,30,13,92.0,9.0,10.0,9.0,9.0,9.0,08_2020.csv,2020-08
26756521,20200000000000,2020-08-21,43736801,The Scout Group,9/9/2015,f,Bondi Beach,Northern Beaches,Entire apartment,Entire home/apt,6,364.0,t,0,3,100.0,10.0,10.0,10.0,9.0,10.0,08_2020.csv,2020-08
26757920,20200000000000,2020-08-21,131854713,Blue,24/5/2017,f,Potts Point,Sydney,Shared room in hostel,Shared room,5,26.0,t,30,1,80.0,10.0,8.0,10.0,10.0,8.0,08_2020.csv,2020-08
26767190,20200000000000,2020-08-22,181023575,Andrew & Sarah,28/3/2018,t,,Sutherland Shire,Entire house,Entire home/apt,13,695.0,t,26,14,96.0,10.0,10.0,10.0,10.0,9.0,08_2020.csv,2020-08
26782879,20200000000000,2020-08-21,3648078,Camille,23/9/2012,f,Kingsford,Bayside,Private room in house,Private room,2,55.0,t,15,1,100.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26785847,20200000000000,2020-08-21,21151187,John,9/9/2014,f,Potts Point,Sydney,Entire apartment,Entire home/apt,2,140.0,t,0,13,83.0,9.0,8.0,10.0,10.0,8.0,08_2020.csv,2020-08
26789593,20200000000000,2020-08-22,113874,Bondi Beach Holiday Homes,26/4/2010,f,Bellevue Hill,Randwick,Entire house,Entire home/apt,8,750.0,t,1,0,,,,,,,08_2020.csv,2020-08
26792827,20200000000000,2020-08-22,195078405,Kevin,12/6/2018,f,,Hornsby,Private room in house,Private room,5,62.0,t,0,0,,,,,,,08_2020.csv,2020-08
26793398,20200000000000,2020-08-21,1310030,Claudia,19/10/2011,f,North Bondi,Waverley,Entire apartment,Entire home/apt,2,100.0,t,0,41,93.0,10.0,10.0,10.0,9.0,9.0,08_2020.csv,2020-08
26795968,20200000000000,2020-08-21,82628378,Juste,9/7/2016,f,Redfern,Sydney,Private room in apartment,Private room,1,47.0,t,29,0,,,,,,,08_2020.csv,2020-08
26797470,20200000000000,2020-08-21,197819830,Lex,25/6/2018,t,Sydney,Sydney,Entire apartment,Entire home/apt,6,380.0,t,26,49,97.0,10.0,9.0,9.0,10.0,9.0,08_2020.csv,2020-08
26797761,20200000000000,2020-08-21,183493154,Sydney,10/4/2018,t,Newtown,Inner West,Room in hotel,Hotel room,2,129.0,t,29,22,94.0,10.0,10.0,10.0,10.0,9.0,08_2020.csv,2020-08
26816334,20200000000000,2020-08-22,196333199,Jan,18/6/2018,f,Mascot,Bayside,Entire cottage,Entire home/apt,4,220.0,t,28,3,100.0,10.0,10.0,10.0,10.0,9.0,08_2020.csv,2020-08
26820847,20200000000000,2020-08-21,201706548,Greenwich Village Accommodation,12/7/2018,f,Greenwich,Lane Cove,Room in hostel,Hotel room,1,50.0,t,29,5,84.0,10.0,9.0,9.0,10.0,10.0,08_2020.csv,2020-08
26824047,20200000000000,2020-08-21,165297895,Nisha,1/1/2018,f,Chippendale,Sydney,Entire apartment,Entire home/apt,5,189.0,t,30,47,93.0,9.0,10.0,10.0,10.0,9.0,08_2020.csv,2020-08
26831420,20200000000000,2020-08-21,64010379,Yolanda,22/3/2016,f,,Northern Beaches,Private room in townhouse,Private room,2,110.0,t,30,0,,,,,,,08_2020.csv,2020-08
26832247,20200000000000,2020-08-21,64010379,Yolanda,22/3/2016,f,,Northern Beaches,Private room in townhouse,Private room,2,145.0,t,29,0,,,,,,,08_2020.csv,2020-08
26846455,20200000000000,2020-08-22,23476889,Solmaz,8/11/2014,f,Annandale,Inner West,Private room in apartment,Private room,2,42.0,t,16,3,93.0,10.0,9.0,10.0,10.0,9.0,08_2020.csv,2020-08
26849952,20200000000000,2020-08-21,3023171,Mel,22/7/2012,t,Glebe,Sydney,Entire apartment,Entire home/apt,2,139.0,t,29,27,99.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26853314,20200000000000,2020-08-21,82545663,Bayswater Boutique,8/7/2016,t,Elizabeth Bay,Sydney,Room in boutique hotel,Private room,3,96.0,t,13,28,95.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26853842,20200000000000,2020-08-21,82545663,Bayswater Boutique,8/7/2016,t,Elizabeth Bay,Sydney,Room in boutique hotel,Private room,3,96.0,t,29,30,95.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26872995,20200000000000,2020-08-22,160369560,Thuy,27/11/2017,f,Croydon,Inner West,Private room in apartment,Private room,2,50.0,t,29,1,,,,,,,08_2020.csv,2020-08
26873991,20200000000000,2020-08-22,151725839,Sam,23/9/2017,f,Mortdale,Georges River,Private room in house,Private room,2,49.0,t,29,0,,,,,,,08_2020.csv,2020-08
26875677,20200000000000,2020-08-22,42863213,Rebecca,29/8/2015,f,Double Bay,Woollahra,Entire apartment,Entire home/apt,4,182.14,t,28,13,84.0,9.0,8.0,10.0,10.0,8.0,08_2020.csv,2020-08
26877517,20200000000000,2020-08-22,6932872,Georgia,15/6/2013,f,Sans Souci,Bayside,Private room in house,Private room,2,56.0,t,0,51,91.0,9.0,9.0,10.0,9.0,9.0,08_2020.csv,2020-08
26878015,20200000000000,2020-08-21,29764917,Fiona,21/3/2015,t,Randwick,Randwick,Private room in house,Private room,2,59.0,t,29,15,100.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26879170,20200000000000,2020-08-23,81570937,Jing,4/7/2016,f,,Parramatta,Private room in apartment,Private room,1,200.0,t,0,0,,,,,,,08_2020.csv,2020-08
26879368,20200000000000,2020-08-22,176438350,Erma,3/3/2018,t,,Northern Beaches,Entire guest suite,Entire home/apt,2,102.0,t,28,53,99.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26880408,20200000000000,2020-08-21,32557113,Patrick,4/5/2015,f,,Woollahra,Private room in apartment,Private room,2,185.0,t,30,2,100.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26881818,20200000000000,2020-08-21,1510829,Christie,16/12/2011,f,Bronte,Waverley,Entire house,Entire home/apt,7,880.0,t,10,10,100.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26897954,20200000000000,2020-08-21,8509282,Cenk,29/8/2013,f,Lilyfield,Inner West,Private room in house,Private room,1,58.0,t,30,19,97.0,10.0,9.0,10.0,10.0,9.0,08_2020.csv,2020-08
26901938,20200000000000,2020-08-22,171891966,Helen,5/2/2018,t,Bardwell Valley,Bayside,Entire guest suite,Entire home/apt,2,120.0,t,16,81,99.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26902947,20200000000000,2020-08-21,5406115,Pip,10/3/2013,f,Avalon Beach,Northern Beaches,Entire cabin,Entire home/apt,3,114.0,t,0,0,,,,,,,08_2020.csv,2020-08
26903139,20200000000000,2020-08-21,214034753,Christine,7/9/2018,f,,Northern Beaches,Entire apartment,Entire home/apt,4,200.0,t,1,50,96.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26906325,20200000000000,2020-08-22,5314080,Claudia,4/3/2013,t,Darling Point,Woollahra,Entire apartment,Entire home/apt,2,90.0,t,22,79,99.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26906348,20200000000000,2020-08-21,201007327,Yihan,9/7/2018,f,Glebe,Sydney,Entire apartment,Entire home/apt,8,277.0,t,0,34,94.0,10.0,9.0,10.0,10.0,9.0,08_2020.csv,2020-08
26907878,20200000000000,2020-08-21,15356750,Chantal,10/5/2014,t,Paddington,Woollahra,Private room in apartment,Private room,1,65.0,t,29,22,99.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26918215,20200000000000,2020-08-20,54600650,Tristan,14/1/2016,f,,Northern Beaches,Entire apartment,Entire home/apt,4,175.0,t,0,1,100.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26923272,20200000000000,2020-08-20,111841122,Stewart,16/1/2017,f,,Hornsby,Private room in house,Private room,2,30.0,t,0,2,100.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26923908,20200000000000,2020-08-20,16026854,Tracey McArdles Exclusive Property,27/5/2014,f,Paddington,Woollahra,Entire townhouse,Entire home/apt,6,409.0,t,0,6,93.0,10.0,10.0,10.0,9.0,9.0,08_2020.csv,2020-08
26924377,20200000000000,2020-08-20,7062340,Robert,23/6/2013,f,Darlinghurst,Sydney,Private room in apartment,Private room,2,90.0,t,0,25,100.0,10.0,9.0,10.0,10.0,10.0,08_2020.csv,2020-08
26924420,20200000000000,2020-08-20,5257240,Rhonda,27/2/2013,f,Matraville,Randwick,Entire townhouse,Entire home/apt,6,200.0,t,0,3,100.0,10.0,9.0,10.0,10.0,10.0,08_2020.csv,2020-08
26928281,20200000000000,2020-08-21,161376429,Establishment Hotel,5/12/2017,f,,Sydney,Room in boutique hotel,Hotel room,2,251.86,t,19,0,,,,,,,08_2020.csv,2020-08
26928314,20200000000000,2020-08-20,31436478,Michelle,18/4/2015,f,Fairlight,Northern Beaches,Entire apartment,Entire home/apt,2,150.0,t,0,0,,,,,,,08_2020.csv,2020-08
26928383,20200000000000,2020-08-22,3549639,Eloise,12/9/2012,f,North Bondi,Waverley,Private room in apartment,Private room,1,70.0,t,29,5,100.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26928393,20200000000000,2020-08-21,161376429,Establishment Hotel,5/12/2017,f,,Sydney,Room in boutique hotel,Hotel room,3,290.0,t,19,1,100.0,8.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26931727,20200000000000,2020-08-21,161376429,Establishment Hotel,5/12/2017,f,,Sydney,Room in boutique hotel,Hotel room,2,856.0,t,16,0,,,,,,,08_2020.csv,2020-08
26932284,20200000000000,2020-08-21,161376429,Establishment Hotel,5/12/2017,f,,Sydney,Room in boutique hotel,Hotel room,2,2185.0,t,13,1,100.0,10.0,10.0,10.0,10.0,8.0,08_2020.csv,2020-08
26934151,20200000000000,2020-08-22,63028156,George,15/3/2016,t,Elizabeth Bay,Sydney,Entire apartment,Entire home/apt,4,185.0,t,0,75,99.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26935282,20200000000000,2020-08-22,33399816,Jenny,14/5/2015,f,Balgowlah,Northern Beaches,Entire apartment,Entire home/apt,2,102.0,t,0,32,94.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26935610,20200000000000,2020-08-21,202670586,Linda,16/7/2018,f,The Rocks,Sydney,Entire townhouse,Entire home/apt,3,265.0,t,25,0,,,,,,,08_2020.csv,2020-08
26935793,20200000000000,2020-08-20,26093141,Ye,14/1/2015,f,,Inner West,Private room in apartment,Private room,2,70.0,t,0,0,,,,,,,08_2020.csv,2020-08
26936214,20200000000000,2020-08-20,21351470,Nikki,15/9/2014,f,Marrickville,Inner West,Entire apartment,Entire home/apt,3,250.0,t,0,0,,,,,,,08_2020.csv,2020-08
26940858,20200000000000,2020-08-20,49961463,Ting,26/11/2015,t,,Cumberland,Entire condominium,Entire home/apt,6,148.0,t,0,45,97.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26942360,20200000000000,2020-08-22,178729132,Zoe,16/3/2018,f,Newtown,Liverpool,Entire apartment,Entire home/apt,4,85.0,t,24,41,91.0,10.0,9.0,9.0,9.0,9.0,08_2020.csv,2020-08
26943637,20200000000000,2020-08-22,35919536,Nicola,15/6/2015,f,,Northern Beaches,Entire house,Entire home/apt,2,495.0,t,28,0,,,,,,,08_2020.csv,2020-08
26954571,20200000000000,2020-08-20,47841865,Sarah,31/10/2015,f,,Mosman,Entire apartment,Entire home/apt,2,84.0,t,0,7,100.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
26954941,20200000000000,2020-08-21,1649158,A Perfect Stay,24/1/2012,f,Overseas,Northern Beaches,Entire house,Entire home/apt,8,1045.0,t,30,2,90.0,10.0,9.0,10.0,9.0,8.0,08_2020.csv,2020-08
26956784,20200000000000,2020-08-20,2559018,Felicity,5/6/2012,f,,Northern Beaches,Entire apartment,Entire home/apt,2,141.0,t,0,4,100.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
