listing_id,scrape_id,scraped_date,host_id,host_name,host_since,host_is_superhost,host_neighbourhood,listing_neighbourhood,property_type,room_type,accommodates,price,has_availability,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,source_file,year_month
18603116,20200000000000,2020-07-14,129198168,Elodie,7/5/2017,f,Bondi Junction,Waverley,Apartment,Entire home/apt,2,93.0,t,0,5,88.0,9.0,8.0,10.0,10.0,9.0,07_2020.csv,2020-07
18603618,20200000000000,2020-09-05,11854424,Ann,2/2/2014,t,Cremorne,North Sydney,Entire apartment,Entire home/apt,6,160.0,t,6,101,91.0,10.0,9.0,10.0,10.0,9.0,07_2020.csv,2020-09
18603756,20200000000000,2020-07-14,50608357,Susanne,5/12/2015,f,Paddington,Woollahra,Townhouse,Entire home/apt,4,449.0,t,0,12,98.0,10.0,8.0,10.0,10.0,10.0,07_2020.csv,2020-07
18604359,20200000000000,2020-07-14,67667705,Steve,17/4/2016,f,Zetland,Sydney,Apartment,Entire home/apt,2,125.0,t,0,3,100.0,10.0,10.0,10.0,9.0,10.0,07_2020.csv,2020-07
18604597,20200000000000,2020-07-14,48537596,Rahul,9/11/2015,f,,Ryde,Apartment,Private room,2,50.0,t,0,4,95.0,10.0,10.0,10.0,10.0,10.0,07_2020.csv,2020-07
18605436,20200000000000,2020-07-14,129216307,Jane,7/5/2017,f,Darling Point,Woollahra,Apartment,Entire home/apt,2,165.0,t,0,9,95.0,10.0,10.0,10.0,10.0,10.0,07_2020.csv,2020-07
18605634,20200000000000,2020-07-14,124285225,Larissa,4/4/2017,f,,Randwick,House,Private room,2,60.0,t,0,1,,,,,,,07_2020.csv,2020-07
18606686,20200000000000,2020-07-16,129226100,Jenny,7/5/2017,t,,Hornsby,Guest suite,Entire home/apt,4,100.0,t,0,87,96.0,10.0,9.0,10.0,10.0,9.0,07_2020.csv,2020-07
18615870,20200000000000,2020-07-15,102760402,Kapil,6/11/2016,f,,Inner West,Apartment,Entire home/apt,2,91.0,t,27,0,,,,,,,07_2020.csv,2020-07
18618903,20200000000000,2020-09-05,2148052,Ashley,15/4/2012,f,,Waverley,Entire apartment,Entire home/apt,2,90.0,t,0,10,98.0,10.0,10.0,10.0,10.0,10.0,07_2020.csv,2020-09
18619560,20200000000000,2020-07-15,91932622,Paul,26/8/2016,f,Manly,Northern Beaches,Apartment,Entire home/apt,4,190.0,t,29,9,93.0,10.0,10.0,10.0,10.0,9.0,07_2020.csv,2020-07
18619741,20200000000000,2020-09-05,6065255,Alex,23/4/2013,f,Bondi Beach,Randwick,Entire townhouse,Entire home/apt,4,150.0,t,0,4,95.0,10.0,9.0,9.0,10.0,9.0,07_2020.csv,2020-09
18620274,20200000000000,2020-07-14,107697778,Matthew,18/12/2016,f,Waterloo,Sydney,Apartment,Private room,2,90.0,t,0,2,100.0,10.0,10.0,10.0,10.0,10.0,07_2020.csv,2020-07
18620288,20200000000000,2020-07-16,17714205,Stephen (Sydney Holiday Rentals),6/7/2014,t,Manly,North Sydney,Apartment,Entire home/apt,4,146.0,t,1,111,97.0,10.0,10.0,10.0,10.0,9.0,07_2020.csv,2020-07
18623276,20200000000000,2020-07-14,25450894,Richard,1/1/2015,f,Randwick,Randwick,Apartment,Entire home/apt,5,250.0,t,0,0,,,,,,,07_2020.csv,2020-07
18624682,20200000000000,2020-07-14,19278675,Laura,1/8/2014,f,Surry Hills,Sydney,House,Private room,1,50.0,t,0,0,,,,,,,07_2020.csv,2020-07
18629304,20200000000000,2020-07-14,101223720,Alex,25/10/2016,f,Zetland,Sydney,Apartment,Private room,2,100.0,t,0,1,,,,,,,07_2020.csv,2020-07
18636352,20200000000000,2020-07-16,57685807,Kenneth,6/2/2016,f,Ultimo,Sydney,Apartment,Entire home/apt,7,190.0,t,26,183,95.0,10.0,10.0,10.0,10.0,9.0,07_2020.csv,2020-07
