listing_id,scrape_id,scraped_date,host_id,host_name,host_since,host_is_superhost,host_neighbourhood,listing_neighbourhood,property_type,room_type,accommodates,price,has_availability,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,source_file,year_month
22293926,20200000000000,2020-11-05,162812780,Liv,15/12/2017,f,,Cumberland,Private room in apartment,Private room,1,45.0,t,0,4,90.0,9.0,10.0,10.0,10.0,10.0,11_2020.csv,2020-11
22293996,20200000000000,2020-11-05,36913956,Maggie,28/6/2015,t,Darlinghurst,Sydney,Entire apartment,Entire home/apt,3,111.0,t,0,121,98.0,10.0,10.0,10.0,10.0,10.0,11_2020.csv,2020-11
22294430,20200000000000,2020-11-05,10667065,Luke,17/12/2013,f,Bronte,Waverley,Entire apartment,Entire home/apt,4,99.0,t,0,0,,,,,,,11_2020.csv,2020-11
22294529,20200000000000,2020-11-05,9602719,Cristóbal,23/10/2013,f,Bondi,Waverley,Private room in apartment,Private room,2,80.0,t,0,1,100.0,10.0,10.0,10.0,10.0,10.0,11_2020.csv,2020-11
22294567,20200000000000,2020-11-05,162949796,Monica,16/12/2017,f,,Waverley,Entire apartment,Entire home/apt,2,91.0,t,0,1,60.0,8.0,4.0,10.0,8.0,6.0,11_2020.csv,2020-11
22294576,20200000000000,2020-11-05,56426264,Arief,28/1/2016,f,Allawah,Georges River,Private room in apartment,Private room,1,39.0,t,0,2,100.0,10.0,10.0,10.0,10.0,10.0,11_2020.csv,2020-11
22294682,20200000000000,2020-11-05,12818937,Tim,5/3/2014,f,,Northern Beaches,Private room in house,Private room,2,89.0,t,28,1,80.0,8.0,6.0,8.0,8.0,6.0,11_2020.csv,2020-11
22295050,20200000000000,2020-11-05,846127,Tina & Greg,20/7/2011,t,,Northern Beaches,Entire guest suite,Entire home/apt,3,125.0,t,14,57,98.0,10.0,10.0,10.0,10.0,10.0,11_2020.csv,2020-11
22295090,20200000000000,2020-11-05,112468070,Tom,20/1/2017,f,Manly,Northern Beaches,Entire apartment,Entire home/apt,4,175.0,t,0,1,80.0,10.0,8.0,8.0,10.0,10.0,11_2020.csv,2020-11
22295191,20200000000000,2020-11-05,12818937,Tim,5/3/2014,f,,Northern Beaches,Private room in house,Private room,2,89.0,t,28,0,,,,,,,11_2020.csv,2020-11
22295354,20200000000000,2020-11-05,96643264,Tracey,25/9/2016,t,,Inner West,Entire guest suite,Entire home/apt,2,92.0,t,26,299,99.0,10.0,10.0,10.0,10.0,10.0,11_2020.csv,2020-11
22295644,20200000000000,2020-11-05,21237648,Aimie,12/9/2014,f,,Sydney,Entire townhouse,Entire home/apt,4,100.0,t,0,1,,,,,,,11_2020.csv,2020-11
22295690,20200000000000,2020-11-05,9450026,Jacqueline,15/10/2013,f,Bronte,Waverley,Entire house,Entire home/apt,6,850.0,t,0,7,100.0,10.0,10.0,10.0,10.0,10.0,11_2020.csv,2020-11
22295707,20200000000000,2020-11-05,56220187,Radha,26/1/2016,f,,Sydney,Private room in apartment,Private room,1,75.0,t,0,0,,,,,,,11_2020.csv,2020-11
22295740,20200000000000,2020-11-05,95010196,Matt,13/9/2016,f,Bronte,Waverley,Entire apartment,Entire home/apt,4,125.0,t,0,1,100.0,10.0,10.0,10.0,10.0,10.0,11_2020.csv,2020-11
22295843,20200000000000,2020-11-05,76526417,Quentin,8/6/2016,f,North Bondi,Waverley,Shared room in apartment,Shared room,1,50.0,t,0,0,,,,,,,11_2020.csv,2020-11
22296011,20200000000000,2020-11-05,10873080,Joshua,28/12/2013,f,Camperdown,Sydney,Private room in house,Private room,2,40.0,t,0,0,,,,,,,11_2020.csv,2020-11
22296242,20200000000000,2020-11-05,57699581,Iveta,7/2/2016,f,,Waverley,Entire apartment,Entire home/apt,2,110.0,t,0,1,80.0,10.0,10.0,10.0,10.0,10.0,11_2020.csv,2020-11
22296423,20200000000000,2020-11-05,57058369,Louise,1/2/2016,f,Manly,Northern Beaches,Entire apartment,Entire home/apt,6,314.0,t,0,0,,,,,,,11_2020.csv,2020-11
22296531,20200000000000,2020-11-05,49967778,Kristel,26/11/2015,f,Roselands,Canterbury-Bankstown,Entire apartment,Entire home/apt,4,180.0,t,0,1,80.0,6.0,10.0,10.0,10.0,8.0,11_2020.csv,2020-11
22296557,20200000000000,2020-11-05,45725849,Elgar,4/10/2015,f,Lilyfield,Inner West,Entire house,Entire home/apt,2,150.0,t,0,0,,,,,,,11_2020.csv,2020-11
22296748,20200000000000,2020-11-05,10937177,Walson,1/1/2014,f,Rosebery,Sydney,Private room in house,Private room,2,120.0,t,0,0,,,,,,,11_2020.csv,2020-11
22296760,20200000000000,2020-11-05,136293932,Michael,21/6/2017,f,,Waverley,Entire apartment,Entire home/apt,2,150.0,t,0,0,,,,,,,11_2020.csv,2020-11
22296970,20200000000000,2020-11-05,77155107,Serena,11/6/2016,f,,Sydney,Private room in house,Private room,1,50.0,t,0,1,80.0,10.0,8.0,10.0,10.0,10.0,11_2020.csv,2020-11
22296993,20200000000000,2020-11-05,51043148,Syed,11/12/2015,f,,Parramatta,Entire house,Entire home/apt,8,280.0,t,29,0,,,,,,,11_2020.csv,2020-11
22297495,20200000000000,2020-11-05,162971084,David,17/12/2017,f,Bondi,Waverley,Entire apartment,Entire home/apt,4,273.0,t,0,1,100.0,10.0,10.0,10.0,10.0,8.0,11_2020.csv,2020-11
22297603,20200000000000,2020-11-05,4053699,Kylie,4/11/2012,f,,Randwick,Entire apartment,Entire home/apt,4,350.0,t,0,0,,,,,,,11_2020.csv,2020-11
22297621,20200000000000,2020-11-05,47660876,Thomas,28/10/2015,f,Zetland,Sydney,Private room in townhouse,Private room,2,100.0,t,0,0,,,,,,,11_2020.csv,2020-11
22298425,20200000000000,2020-11-05,133541809,Leopoldo,5/6/2017,f,Bondi,Waverley,Private room in apartment,Private room,2,110.0,t,0,0,,,,,,,11_2020.csv,2020-11
22298481,20200000000000,2020-11-05,18029385,Richard,13/7/2014,f,,Woollahra,Private room in apartment,Private room,2,165.0,t,0,0,,,,,,,11_2020.csv,2020-11
22298614,20200000000000,2020-11-05,67239085,Adriana,14/4/2016,f,,Northern Beaches,Entire apartment,Entire home/apt,2,100.0,t,0,0,,,,,,,11_2020.csv,2020-11
22298742,20200000000000,2020-11-05,154611650,Binh,14/10/2017,t,Earlwood,Canterbury-Bankstown,Entire guesthouse,Entire home/apt,2,60.0,t,0,46,97.0,10.0,10.0,10.0,10.0,10.0,11_2020.csv,2020-11
22299094,20200000000000,2020-11-05,99310182,Kate,12/10/2016,f,Woollahra,Woollahra,Entire apartment,Entire home/apt,4,200.0,t,0,4,100.0,10.0,10.0,10.0,9.0,10.0,11_2020.csv,2020-11
