listing_id,scrape_id,scraped_date,host_id,host_name,host_since,host_is_superhost,host_neighbourhood,listing_neighbourhood,property_type,room_type,accommodates,price,has_availability,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,source_file,year_month
40512895,20200000000000,2020-10-14,50552827,Katy,4/12/2015,f,Palm Beach,Northern Beaches,Private room in house,Private room,2,250.0,t,0,3,93.0,10.0,10.0,10.0,10.0,9.0,10_2020.csv,2020-10
40513765,20200000000000,2020-10-13,99326437,Dan,12/10/2016,f,,Sydney,Entire apartment,Entire home/apt,4,101.0,t,22,17,99.0,10.0,10.0,10.0,10.0,10.0,10_2020.csv,2020-10
40514160,20200000000000,2020-10-13,43570125,Michael,7/9/2015,f,Potts Point,Sydney,Private room in apartment,Private room,2,195.0,t,0,0,,,,,,,10_2020.csv,2020-10
40514213,20200000000000,2020-10-12,46194190,Debbie-Lynn,10/10/2015,f,,Woollahra,Entire apartment,Entire home/apt,3,65.0,t,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10_2020.csv,2020-10
40514232,20200000000000,2020-10-12,112480048,Sio,21/1/2017,t,,Inner West,Entire apartment,Entire home/apt,2,125.0,t,0,9,100.0,10.0,10.0,10.0,10.0,10.0,10_2020.csv,2020-10
40514817,20200000000000,2020-10-16,9495325,Janice,18/10/2013,t,,Hornsby,Entire guesthouse,Entire home/apt,2,139.0,t,4,110,100.0,10.0,10.0,10.0,10.0,10.0,10_2020.csv,2020-10
40514836,20200000000000,2020-10-16,217684751,Hanna,28/9/2018,f,Sydney,Sydney,Private room in apartment,Private room,2,120.0,t,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10_2020.csv,2020-10
40514935,20200000000000,2020-10-14,308605136,Peifen,10/11/2019,f,,Bayside,Private room in apartment,Private room,2,88.0,t,28,0,,,,,,,10_2020.csv,2020-10
40515105,20200000000000,2020-10-17,4967649,Pieter,4/2/2013,f,Bondi Beach,Waverley,Entire apartment,Entire home/apt,6,350.0,t,0,0,,,,,,,10_2020.csv,2020-10
40515663,20200000000000,2020-10-14,44163334,David,14/9/2015,f,Rose Bay,Waverley,Entire house,Entire home/apt,7,119.0,t,0,9,91.0,9.0,9.0,10.0,10.0,10.0,10_2020.csv,2020-10
40515844,20200000000000,2020-10-16,95240167,Mashiat,15/9/2016,f,Mosman,Mosman,Private room in apartment,Private room,2,75.0,t,0,1,60.0,6.0,8.0,6.0,6.0,6.0,10_2020.csv,2020-10
40517260,20200000000000,2020-10-14,108489325,Javier,25/12/2016,f,St Leonards,Lane Cove,Private room in house,Private room,2,100.0,t,23,0,,,,,,,10_2020.csv,2020-10
