listing_id,scrape_id,scraped_date,host_id,host_name,host_since,host_is_superhost,host_neighbourhood,listing_neighbourhood,property_type,room_type,accommodates,price,has_availability,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,source_file,year_month
9098315,20200000000000,2020-09-10,45973695,Yury,7/10/2015,f,Maroubra,Randwick,Entire house,Entire home/apt,6,400.0,t,0,1,80.0,10.0,8.0,8.0,10.0,8.0,09_2020.csv,2020-09
9098550,20200000000000,2020-09-11,47436338,Christine,26/10/2015,t,Annandale,Inner West,Private room in house,Private room,1,50.0,t,0,85,98.0,10.0,10.0,10.0,10.0,10.0,09_2020.csv,2020-09
9099067,20200000000000,2020-09-10,28251322,Indy,23/2/2015,f,,Sydney,Entire apartment,Entire home/apt,2,150.0,t,0,2,100.0,10.0,10.0,10.0,10.0,9.0,09_2020.csv,2020-09
9100634,20200000000000,2020-09-10,47444669,Kirsty,26/10/2015,f,Avalon Beach,Northern Beaches,Entire house,Entire home/apt,10,800.0,t,0,0,,,,,,,09_2020.csv,2020-09
9100858,20200000000000,2020-09-10,21275293,Oxana,13/9/2014,f,,Sydney,Entire townhouse,Entire home/apt,4,349.0,t,0,1,100.0,10.0,10.0,10.0,10.0,10.0,09_2020.csv,2020-09
9101202,20200000000000,2020-09-11,16033484,Nicole,27/5/2014,f,,Waverley,Entire house,Entire home/apt,4,450.0,t,28,3,93.0,9.0,9.0,9.0,9.0,9.0,09_2020.csv,2020-09
9101212,20200000000000,2020-09-10,47446899,Glenn,26/10/2015,f,Lugarno,Georges River,Entire house,Entire home/apt,8,180.0,t,0,0,,,,,,,09_2020.csv,2020-09
9101297,20200000000000,2020-09-11,47447181,Holly,26/10/2015,t,,Inner West,Entire house,Entire home/apt,7,1000.0,t,27,4,95.0,10.0,10.0,9.0,9.0,10.0,09_2020.csv,2020-09
9101358,20200000000000,2020-09-10,23402096,Suzie,6/11/2014,f,,Woollahra,Entire apartment,Entire home/apt,4,200.0,t,0,2,100.0,10.0,9.0,10.0,10.0,10.0,09_2020.csv,2020-09
9101377,20200000000000,2020-09-11,47447416,Matthew,26/10/2015,f,,Northern Beaches,Private room in apartment,Private room,2,75.0,t,0,5,96.0,10.0,8.0,10.0,10.0,9.0,09_2020.csv,2020-09
9101876,20200000000000,2020-09-10,12855722,Adrianna,6/3/2014,f,,Inner West,Entire house,Entire home/apt,2,120.0,t,0,2,100.0,9.0,7.0,9.0,10.0,9.0,09_2020.csv,2020-09
9101948,20200000000000,2020-09-10,40672909,Alessandra,6/8/2015,t,Hillsdale,Bayside,Private room in apartment,Private room,2,60.0,t,0,1,100.0,10.0,10.0,10.0,10.0,10.0,09_2020.csv,2020-09
9102185,20200000000000,2020-09-10,47448149,Rodrigo,26/10/2015,f,Bondi Beach,Waverley,Entire apartment,Entire home/apt,3,140.0,t,0,16,81.0,9.0,9.0,9.0,9.0,8.0,09_2020.csv,2020-09
9102568,20200000000000,2020-09-10,46745174,Christine,16/10/2015,t,Vaucluse,Woollahra,Entire house,Entire home/apt,5,1500.0,t,0,0,,,,,,,09_2020.csv,2020-09
9110999,20200000000000,2020-09-10,1940940,Keely,17/3/2012,f,Bondi,Waverley,Entire apartment,Entire home/apt,3,146.0,t,0,12,98.0,10.0,10.0,10.0,10.0,10.0,09_2020.csv,2020-09
9114820,20200000000000,2020-09-10,4179217,Carlotta,18/11/2012,f,Alexandria,Sydney,Entire apartment,Entire home/apt,2,250.0,t,0,1,100.0,10.0,10.0,10.0,10.0,10.0,09_2020.csv,2020-09
9115790,20200000000000,2020-09-11,16357713,PropertyProviders,4/6/2014,f,Manly,Mosman,Entire house,Entire home/apt,8,550.0,t,16,0,,,,,,,09_2020.csv,2020-09
9117127,20200000000000,2020-09-10,28037236,Lucy,20/2/2015,f,Randwick,Randwick,Entire house,Entire home/apt,6,395.0,t,0,1,100.0,8.0,8.0,10.0,10.0,8.0,09_2020.csv,2020-09
9119318,20200000000000,2020-09-10,16357713,PropertyProviders,4/6/2014,f,Manly,Northern Beaches,Entire villa,Entire home/apt,8,523.0,t,0,1,80.0,4.0,8.0,10.0,4.0,6.0,09_2020.csv,2020-09
9119707,20200000000000,2020-09-10,46611806,Emily,15/10/2015,f,Redfern,Sydney,Private room in townhouse,Private room,2,60.0,t,0,0,,,,,,,09_2020.csv,2020-09
9120410,20200000000000,2020-09-10,7409213,L'Abode Accommodation Specialist,10/7/2013,f,Bellevue Hill,Randwick,Entire house,Entire home/apt,7,702.0,t,1,2,90.0,10.0,9.0,9.0,10.0,8.0,09_2020.csv,2020-09
9120480,20200000000000,2020-09-10,47522028,Alan,27/10/2015,f,North Bondi,Waverley,Entire house,Entire home/apt,8,500.0,t,0,0,,,,,,,09_2020.csv,2020-09
9121288,20200000000000,2020-09-11,25557115,Penny,3/1/2015,f,Marrickville,Inner West,Private room in house,Private room,1,250.0,t,29,18,97.0,10.0,10.0,10.0,10.0,10.0,09_2020.csv,2020-09
