listing_id,scrape_id,scraped_date,host_id,host_name,host_since,host_is_superhost,host_neighbourhood,listing_neighbourhood,property_type,room_type,accommodates,price,has_availability,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,source_file,year_month
4464621,20201200000000,2020-12-15,7749728,Natasha,27/7/2013,f,Bondi Beach,Waverley,Private room in apartment,Private room,2,90.0,t,0,7,94.0,8.0,9.0,9.0,10.0,9.0,12_2020.csv,2020-12
4464899,20201200000000,2020-12-16,22910567,Catherine,24/10/2014,f,Clovelly,Randwick,Private room in house,Private room,2,85.0,t,5,83,95.0,10.0,9.0,10.0,10.0,10.0,12_2020.csv,2020-12
4465114,20201200000000,2020-12-15,279686,Ching,6/11/2010,f,,Inner West,Entire apartment,Entire home/apt,4,236.0,t,28,6,100.0,10.0,10.0,10.0,10.0,10.0,12_2020.csv,2020-12
4465427,20201200000000,2020-12-16,1852102,Ann And Mad,3/3/2012,f,Bondi,Waverley,Entire apartment,Entire home/apt,2,155.0,t,20,100,89.0,9.0,9.0,10.0,9.0,8.0,12_2020.csv,2020-12
4469467,20201200000000,2020-12-15,18825728,Jarrod,24/7/2014,f,Chippendale,Sydney,Private room in house,Private room,2,79.0,t,0,1,100.0,10.0,10.0,10.0,10.0,10.0,12_2020.csv,2020-12
4470992,20201200000000,2020-12-15,1739633,Peter,12/2/2012,t,Bondi Beach,Waverley,Entire apartment,Entire home/apt,2,394.0,t,23,12,97.0,10.0,10.0,10.0,10.0,10.0,12_2020.csv,2020-12
4471162,20201200000000,2020-12-16,21396900,Mal,16/9/2014,f,Bondi Beach,Waverley,Entire apartment,Entire home/apt,3,300.0,t,0,162,92.0,9.0,9.0,10.0,10.0,9.0,12_2020.csv,2020-12
4471166,20201200000000,2020-12-16,23197732,Rachel,31/10/2014,f,,Northern Beaches,Entire house,Entire home/apt,10,485.0,t,0,5,100.0,10.0,10.0,10.0,10.0,9.0,12_2020.csv,2020-12
4471281,20201200000000,2020-12-16,10554583,Regina,10/12/2013,f,,Sydney,Entire apartment,Entire home/apt,2,175.0,t,0,4,100.0,9.0,9.0,10.0,10.0,10.0,12_2020.csv,2020-12
4475225,20201200000000,2020-12-15,23219147,Jacinta,1/11/2014,t,North Bondi,Waverley,Entire apartment,Entire home/apt,5,183.0,t,22,47,90.0,9.0,9.0,10.0,10.0,9.0,12_2020.csv,2020-12
4476624,20201200000000,2020-12-15,2350815,Oliver,11/5/2012,f,Coogee,Randwick,Entire apartment,Entire home/apt,2,235.0,t,0,2,100.0,10.0,10.0,10.0,10.0,9.0,12_2020.csv,2020-12
4476833,20201200000000,2020-12-16,22873753,Ross,23/10/2014,f,Marrickville,Inner West,Entire apartment,Entire home/apt,6,429.0,t,0,1,80.0,8.0,8.0,8.0,8.0,8.0,12_2020.csv,2020-12
4477185,20201200000000,2020-12-16,23230327,Reza,2/11/2014,f,Homebush,Strathfield,Entire apartment,Entire home/apt,2,90.0,t,0,1,100.0,10.0,10.0,10.0,10.0,10.0,12_2020.csv,2020-12
4477367,20201200000000,2020-12-16,7412694,Carsten,11/7/2013,t,Surry Hills,Sydney,Private room in townhouse,Private room,2,83.0,t,23,177,98.0,10.0,10.0,10.0,10.0,10.0,12_2020.csv,2020-12
4477974,20201200000000,2020-12-16,16159972,Roz,30/5/2014,f,Balgowlah,Northern Beaches,Entire house,Entire home/apt,4,200.0,t,6,0,,,,,,,12_2020.csv,2020-12
4478264,20201200000000,2020-12-15,14782969,Del,27/4/2014,f,North Bondi,Waverley,Entire apartment,Entire home/apt,2,400.0,t,0,1,100.0,8.0,10.0,10.0,10.0,8.0,12_2020.csv,2020-12
4478453,20201200000000,2020-12-16,3476078,Lynne,5/9/2012,f,Newtown,Inner West,Private room in house,Private room,2,50.0,t,0,69,94.0,10.0,10.0,10.0,10.0,9.0,12_2020.csv,2020-12
4478735,20201200000000,2020-12-16,23238866,Katrina,2/11/2014,f,Wollstonecraft,North Sydney,Private room in apartment,Private room,2,80.0,t,20,26,99.0,10.0,10.0,10.0,10.0,10.0,12_2020.csv,2020-12
4478834,20201200000000,2020-12-16,23195067,Cecile,31/10/2014,f,,Northern Beaches,Entire house,Entire home/apt,5,150.0,t,0,3,100.0,10.0,10.0,10.0,10.0,10.0,12_2020.csv,2020-12
4478895,20201200000000,2020-12-16,8270067,Muriel,20/8/2013,f,North Bondi,Waverley,Entire apartment,Entire home/apt,4,170.0,t,0,0,,,,,,,12_2020.csv,2020-12
4483793,20201200000000,2020-12-15,23236082,Carol,2/11/2014,f,Randwick,Randwick,Entire apartment,Entire home/apt,4,100.0,t,0,0,,,,,,,12_2020.csv,2020-12
4484458,20201200000000,2020-12-15,23267356,Kristy,2/11/2014,f,Bondi Beach,Waverley,Private room in apartment,Private room,1,50.0,t,0,1,60.0,6.0,6.0,8.0,6.0,6.0,12_2020.csv,2020-12
4484837,20201200000000,2020-12-16,23269605,Daniel,2/11/2014,f,Coogee,Randwick,Entire apartment,Entire home/apt,4,170.0,t,0,0,,,,,,,12_2020.csv,2020-12
4486913,20201200000000,2020-12-16,9915160,Simon,10/11/2013,f,Bondi Beach,Sutherland Shire,Entire house,Entire home/apt,4,175.0,t,0,6,96.0,10.0,10.0,10.0,10.0,10.0,12_2020.csv,2020-12
4487361,20201200000000,2020-12-15,5329158,Joel,5/3/2013,f,North Bondi,Waverley,Entire apartment,Entire home/apt,4,335.0,t,13,2,100.0,10.0,10.0,10.0,10.0,10.0,12_2020.csv,2020-12
4491986,20201200000000,2020-12-15,6994925,Mandy,19/6/2013,f,Bondi Beach,Waverley,Entire apartment,Entire home/apt,4,240.0,t,0,2,100.0,10.0,10.0,10.0,10.0,10.0,12_2020.csv,2020-12
4493080,20201200000000,2020-12-15,23306164,Connie,3/11/2014,f,,Sydney,Entire apartment,Entire home/apt,4,150.0,t,0,9,93.0,10.0,9.0,10.0,10.0,9.0,12_2020.csv,2020-12
4493839,20201200000000,2020-12-15,23310304,Nik,3/11/2014,f,Coogee,Randwick,Entire apartment,Entire home/apt,3,150.0,t,1,11,96.0,10.0,9.0,10.0,9.0,10.0,12_2020.csv,2020-12
4493946,20201200000000,2020-12-16,9945433,Beth,11/11/2013,f,Randwick,Randwick,Entire house,Entire home/apt,6,375.0,t,0,0,,,,,,,12_2020.csv,2020-12
4494329,20201200000000,2020-12-16,16026854,Tracey McArdles Exclusive Property,27/5/2014,f,Paddington,Woollahra,Entire apartment,Entire home/apt,3,440.0,t,17,2,90.0,9.0,10.0,9.0,9.0,10.0,12_2020.csv,2020-12
4496370,20201200000000,2020-12-15,8317241,Jenny,22/8/2013,f,Fairlight,Northern Beaches,Private room in house,Private room,2,58.0,t,0,61,95.0,10.0,10.0,10.0,10.0,10.0,12_2020.csv,2020-12
4497191,20201200000000,2020-12-15,44490,Sayuri,8/10/2009,f,Lilyfield,Inner West,Entire apartment,Entire home/apt,2,104.0,t,0,4,85.0,8.0,10.0,8.0,9.0,8.0,12_2020.csv,2020-12
