listing_id,scrape_id,scraped_date,host_id,host_name,host_since,host_is_superhost,host_neighbourhood,listing_neighbourhood,property_type,room_type,accommodates,price,has_availability,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,source_file,year_month
11156,20210100000000,2021-01-13,40855,Colleen,23/9/2009,f,Potts Point,Sydney,Private room in apartment,Private room,1,65.0,t,1,196,92.0,10.0,9.0,10.0,10.0,10.0,01_2021.csv,2021-01
12351,20210100000000,2021-01-11,17061,Stuart,14/5/2009,f,Pyrmont,Sydney,Private room in townhouse,Private room,2,14315.0,t,0,526,95.0,10.0,10.0,10.0,10.0,10.0,01_2021.csv,2021-01
14250,20210100000000,2021-01-13,55948,Heidi,20/11/2009,t,Balgowlah,Northern Beaches,Entire house,Entire home/apt,6,470.0,t,1,2,90.0,8.0,8.0,9.0,8.0,8.0,01_2021.csv,2021-01
15253,20210100000000,2021-01-12,59850,Morag,3/12/2009,f,Darlinghurst,Sydney,Private room in apartment,Private room,2,110.0,t,30,365,88.0,10.0,9.0,10.0,10.0,9.0,01_2021.csv,2021-01
44545,20210100000000,2021-01-13,112237,Atari,22/4/2010,t,Darlinghurst,Sydney,Entire loft,Entire home/apt,2,130.0,t,0,76,97.0,10.0,10.0,10.0,10.0,10.0,01_2021.csv,2021-01
58506,20210100000000,2021-01-11,279955,John,6/11/2010,f,Mosman,Mosman,Entire house,Entire home/apt,4,150.0,t,0,285,91.0,9.0,9.0,10.0,10.0,9.0,01_2021.csv,2021-01
59297,20210100000000,2021-01-12,284711,Isabel,11/11/2010,t,Alexandria,Sydney,Entire house,Entire home/apt,7,370.0,t,14,8,93.0,10.0,9.0,10.0,10.0,9.0,01_2021.csv,2021-01
61721,20210100000000,2021-01-12,299170,Eilish,25/11/2010,t,Bondi Beach,Waverley,Entire apartment,Entire home/apt,4,245.0,t,1,32,88.0,9.0,7.0,10.0,10.0,9.0,01_2021.csv,2021-01
65126,20210100000000,2021-01-11,318390,Nicolette,14/12/2010,f,Bondi Beach,Woollahra,Entire apartment,Entire home/apt,4,170.0,t,0,13,91.0,9.0,9.0,10.0,9.0,9.0,01_2021.csv,2021-01
66009,20210100000000,2021-01-13,322887,Belinda,19/12/2010,f,Paddington,Woollahra,Private room in apartment,Private room,4,90.0,t,0,1,100.0,10.0,10.0,10.0,10.0,10.0,01_2021.csv,2021-01
66158,20210100000000,2021-01-11,323771,Maxine,20/12/2010,t,Elizabeth Bay,Sydney,Entire apartment,Entire home/apt,1,60.0,t,12,16,80.0,9.0,9.0,9.0,10.0,9.0,01_2021.csv,2021-01
67112,20210100000000,2021-01-11,160705,Liz,7/7/2010,f,Marrickville,Inner West,Private room in house,Private room,2,75.0,t,28,23,96.0,10.0,10.0,10.0,10.0,10.0,01_2021.csv,2021-01
68999,20210100000000,2021-01-13,333581,Bryan,3/1/2011,t,Sydney,Hornsby,Private room in house,Private room,4,49.0,t,30,46,99.0,10.0,10.0,10.0,10.0,10.0,01_2021.csv,2021-01
69121,20210100000000,2021-01-12,345292,Pamela,12/1/2011,f,,Northern Beaches,Entire apartment,Entire home/apt,2,110.0,t,30,0,,,,,,,01_2021.csv,2021-01
