listing_id,scrape_id,scraped_date,host_id,host_name,host_since,host_is_superhost,host_neighbourhood,listing_neighbourhood,property_type,room_type,accommodates,price,has_availability,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,source_file,year_month
33666691,20200000000000,2020-05-10,56956352,Gareth,1/2/2016,f,Randwick,Randwick,Apartment,Entire home/apt,2,99.0,t,0,1,,,,,,,05_2020.csv,2020-05
33667443,20200000000000,2020-05-10,110388918,Liam,8/1/2017,f,Coogee,Randwick,Apartment,Entire home/apt,2,119.0,t,0,3,100.0,10.0,8.0,10.0,10.0,10.0,05_2020.csv,2020-05
33667878,20200000000000,2020-05-10,56784048,Anthony,31/1/2016,f,Bondi,Waverley,Apartment,Entire home/apt,4,220.0,t,0,0,,,,,,,05_2020.csv,2020-05
33667943,20200000000000,2020-05-10,67518370,Kim,16/4/2016,f,North Bondi,Waverley,Apartment,Entire home/apt,2,201.0,t,0,3,80.0,9.0,9.0,7.0,7.0,7.0,05_2020.csv,2020-05
33669965,20200000000000,2020-05-10,75679504,April,4/6/2016,f,Bondi Beach,Waverley,Apartment,Private room,2,80.0,t,0,1,60.0,6.0,2.0,10.0,4.0,6.0,05_2020.csv,2020-05
33670107,20200000000000,2020-05-10,17396115,Mimi,29/6/2014,f,,Inner West,Apartment,Private room,2,110.0,t,0,4,100.0,10.0,10.0,10.0,10.0,10.0,05_2020.csv,2020-05
33670636,20200000000000,2020-05-10,109067745,Andrew,29/12/2016,t,Bondi Beach,Waverley,Apartment,Private room,2,67.0,t,0,36,97.0,10.0,9.0,10.0,10.0,10.0,05_2020.csv,2020-05
33670792,20200000000000,2020-05-10,57916095,Ben,8/2/2016,f,,Randwick,Apartment,Entire home/apt,8,155.0,t,0,0,,,,,,,05_2020.csv,2020-05
33671798,20200000000000,2020-05-12,253787020,Margaret,7/4/2019,t,,Northern Beaches,House,Private room,1,38.0,t,0,10,98.0,10.0,9.0,10.0,10.0,10.0,05_2020.csv,2020-05
33672558,20200000000000,2020-05-10,32189957,Shane,29/4/2015,f,Wolli Creek,Bayside,Apartment,Private room,2,60.0,t,0,2,100.0,10.0,9.0,10.0,10.0,10.0,05_2020.csv,2020-05
33674268,20200000000000,2020-05-10,217389739,Numan,26/9/2018,t,,Cumberland,Apartment,Private room,2,67.0,t,0,22,99.0,10.0,10.0,10.0,10.0,10.0,05_2020.csv,2020-05
33674907,20200000000000,2020-05-10,63706514,Renata,20/3/2016,f,,Northern Beaches,Apartment,Entire home/apt,2,89.0,t,0,1,60.0,4.0,8.0,10.0,10.0,8.0,05_2020.csv,2020-05
33684549,20200000000000,2020-05-11,25671649,Jose,6/1/2015,f,,North Sydney,Apartment,Private room,2,80.0,t,29,0,,,,,,,05_2020.csv,2020-05
33687076,20200000000000,2020-05-10,15193662,Danny,6/5/2014,f,Pyrmont,Sydney,Serviced apartment,Entire home/apt,4,199.0,t,0,15,95.0,9.0,9.0,9.0,9.0,9.0,05_2020.csv,2020-05
33688516,20200000000000,2020-05-11,47290614,Nikki,23/10/2015,t,Clovelly,Woollahra,Apartment,Entire home/apt,4,181.0,t,0,2,90.0,9.0,10.0,8.0,9.0,7.0,05_2020.csv,2020-05
33688653,20200000000000,2020-05-10,8169647,Franco,15/8/2013,f,Pyrmont,Sydney,Apartment,Private room,2,67.0,t,0,1,100.0,10.0,8.0,10.0,10.0,10.0,05_2020.csv,2020-05
33689311,20200000000000,2020-05-13,111704048,Alison,16/1/2017,f,Cronulla,Sutherland Shire,Apartment,Entire home/apt,5,151.0,t,0,4,90.0,10.0,9.0,10.0,10.0,10.0,05_2020.csv,2020-05
33689369,20200000000000,2020-05-10,14741193,Sedona,26/4/2014,f,Arncliffe,Bayside,Apartment,Private room,2,110.0,t,0,2,100.0,10.0,10.0,10.0,10.0,10.0,05_2020.csv,2020-05
33690038,20200000000000,2020-05-10,51120219,Rashida,12/12/2015,f,Cronulla,Sutherland Shire,Apartment,Entire home/apt,2,99.0,t,0,3,67.0,7.0,6.0,8.0,7.0,9.0,05_2020.csv,2020-05
33690508,20200000000000,2020-05-12,2855698,David,7/7/2012,t,Surry Hills,Sydney,House,Private room,2,68.0,t,30,15,99.0,10.0,9.0,10.0,10.0,10.0,05_2020.csv,2020-05
33691091,20200000000000,2020-05-10,242669198,James,12/2/2019,f,Neutral Bay,North Sydney,Apartment,Entire home/apt,2,139.0,t,0,0,,,,,,,05_2020.csv,2020-05
33691281,20200000000000,2020-05-10,253966551,Anu,7/4/2019,f,Waterloo,Sydney,Apartment,Private room,2,78.0,t,30,8,88.0,9.0,9.0,10.0,10.0,9.0,05_2020.csv,2020-05
33692020,20200000000000,2020-05-10,31132387,Mb,13/4/2015,f,Pyrmont,Sydney,Apartment,Shared room,4,35.0,t,30,2,80.0,9.0,7.0,9.0,9.0,9.0,05_2020.csv,2020-05
33692534,20200000000000,2020-05-11,96499202,Candy,24/9/2016,f,Double Bay,Woollahra,Apartment,Entire home/apt,4,181.0,t,0,2,,,,,,,05_2020.csv,2020-05
33693313,20200000000000,2020-05-10,2450066,Hotelesque,23/5/2012,f,Coogee,North Sydney,Apartment,Entire home/apt,4,501.0,t,0,5,100.0,10.0,10.0,10.0,10.0,10.0,05_2020.csv,2020-05
33693416,20200000000000,2020-05-11,8224873,Hometime,18/8/2013,f,Neutral Bay,Northern Beaches,Apartment,Entire home/apt,2,145.0,t,0,29,99.0,10.0,10.0,10.0,10.0,9.0,05_2020.csv,2020-05
33693847,20200000000000,2020-05-10,253987280,Sky,8/4/2019,f,Hurstville,Georges River,Apartment,Entire home/apt,7,168.0,t,0,39,94.0,10.0,9.0,9.0,10.0,9.0,05_2020.csv,2020-05
33694047,20200000000000,2020-05-10,253988320,Merilynne,8/4/2019,t,Coogee,Randwick,Guest suite,Entire home/apt,3,139.0,t,0,69,95.0,10.0,10.0,10.0,10.0,10.0,05_2020.csv,2020-05
33694757,20200000000000,2020-05-11,23634804,Hash,11/11/2014,f,Neutral Bay,North Sydney,Townhouse,Private room,2,67.0,t,29,1,80.0,10.0,10.0,10.0,10.0,10.0,05_2020.csv,2020-05
33695556,20200000000000,2020-05-11,253991951,Jennifer,8/4/2019,f,Bondi Beach,Waverley,Apartment,Entire home/apt,2,75.0,t,28,0,,,,,,,05_2020.csv,2020-05
33696236,20200000000000,2020-05-10,155820806,Eli,22/10/2017,f,Rockdale,Bayside,Apartment,Private room,1,35.0,t,0,2,100.0,10.0,10.0,10.0,10.0,10.0,05_2020.csv,2020-05
33697144,20200000000000,2020-05-11,254007808,Helen,8/4/2019,f,Kingsgrove,Bayside,House,Entire home/apt,1,67.0,t,30,1,100.0,10.0,10.0,10.0,10.0,10.0,05_2020.csv,2020-05
33697379,20200000000000,2020-05-10,254007581,Florence,8/4/2019,f,Sydney,Sydney,Apartment,Private room,2,109.0,t,0,1,100.0,10.0,10.0,10.0,10.0,10.0,05_2020.csv,2020-05
33697802,20200000000000,2020-05-11,14021923,Melissa,8/4/2014,t,Summer Hill,Inner West,Apartment,Entire home/apt,3,110.0,t,7,2,70.0,9.0,9.0,9.0,9.0,6.0,05_2020.csv,2020-05
33700942,20200000000000,2020-05-10,41409302,Sarah,13/8/2015,f,,Sydney,Apartment,Private room,2,132.0,t,0,0,,,,,,,05_2020.csv,2020-05
33701028,20200000000000,2020-05-10,16434020,Jessica,5/6/2014,f,,Waverley,Apartment,Entire home/apt,2,99.0,t,1,1,80.0,10.0,8.0,10.0,10.0,10.0,05_2020.csv,2020-05
33701585,20200000000000,2020-05-11,244446534,Jiale,20/2/2019,f,Zetland,Woollahra,Apartment,Entire home/apt,4,204.0,t,24,24,84.0,9.0,9.0,9.0,9.0,8.0,05_2020.csv,2020-05
