host_id,host_name,host_is_superhost,host_neighbourhood,host_since
2020220,Mark,False,Stanmore,2012-03-27
2020595,Amanda & Darren,True,,2012-03-27
1911628,Cathy,True,Bondi Beach,2012-03-12
304907,Paul,False,Paddington,2010-11-30
2041405,Tabitha And Alastair,True,Woolloomooloo,2012-03-31
2041405,Tabitha,True,Woolloomooloo,2012-03-31
1391360,David,False,,2011-11-10
451946,Rob,True,,2011-03-20
2059690,Deyaco,False,,2012-04-03
2079008,Jenny,False,,2012-04-05
2079008,Jenny,True,,2012-04-05
2079008,,,,
228864,Craig,False,Tamarama,2010-09-08
2098455,Leigh & Phillip,True,,2012-04-09
2122483,Anna,True,Balmain,2012-04-12
606003,Jo,False,Bellevue Hill,2011-05-19
2140264,Craig,False,Clovelly,2012-04-14
2142752,Brett,False,North Bondi,2012-04-15
1864730,Maggie,False,Darling Point,2012-03-05
167693,Mandy,False,Double Bay,2010-07-15
2210950,Robert,False,,2012-04-24
2200681,Sarah,False,Fairlight,2012-04-23
2157195,Leonie,True,Surry Hills,2012-04-17
2235120,Michael,False,,2012-04-27
2260791,Ursula,False,Clovelly,2012-04-30
2296153,Jane,False,Rosebery,2012-05-05
2281364,Paul,False,Coogee,2012-05-03
77867,Lindy,False,Surry Hills,2010-02-05
2315641,John,False,,2012-05-07
2315641,John,True,,2012-05-07
2325533,Stafford & Monique,False,Camperdown,2012-05-08
490818,Craig,True,Waterloo,2011-04-07
2343880,Clive & Terese,True,,2012-05-10
2357596,Loretta,False,Bondi,2012-05-13
788899,"Khalid, Felicity, Savi & Yasi",False,Ultimo,2011-07-07
1739633,Peter,True,Bondi Beach,2012-02-12
2384993,Sal,False,Bondi,2012-05-16
2430529,Dagmar,False,Bondi,2012-05-21
2453312,Kit,False,Bondi,2012-05-24
2351093,Mirko,False,Sydney,2012-05-12
2351093,Mirko,True,Sydney,2012-05-12
2465634,Steven,False,Lugarno,2012-05-25
2465634,Steven,True,Lugarno,2012-05-25
2473542,Colleen,True,Maroubra,2012-05-27
2473959,Louise,False,Randwick,2012-05-27
589529,Mark & Luce,False,Bondi Beach,2011-05-15
2509326,Cat,True,North Bondi,2012-05-31
577115,Rohan,True,Coogee,2011-05-11
2529298,Cheryl,False,Newtown,2012-06-02
2642660,Daniel,False,Manly,2012-06-15
2649331,Ann-Maree & Malcolm,True,,2012-06-15
2649331,Ann-Maree & Malcolm,False,,2012-06-15
2689669,Mary,False,Bondi Beach,2012-06-20
2733544,Mathieu,False,Surry Hills,2012-06-25
1189963,Adele,False,Woolloomooloo,2011-09-21
2743479,Anita,False,,2012-06-25
2768508,Alister,False,Potts Point,2012-06-28
2777137,Paul,False,Bondi Junction,2012-06-29
506662,Davo,False,Tamarama,2011-04-13
2863847,Endellion,False,North Bondi,2012-07-08
2874517,Ross,True,Bondi Beach,2012-07-09
2908016,Bobbie,False,Palm Beach,2012-07-11
2908016,Bobbie,True,Palm Beach,2012-07-11
2911473,Julian,True,Bondi,2012-07-12
1468090,Rahel,True,Bondi,2011-12-03
1468090,Rahel,False,Bondi,2011-12-03
2076170,Felicity,False,Coogee,2012-04-05
2931096,Kellie,False,Darlington,2012-07-14
2938681,Shushann,True,Coogee,2012-07-15
2940156,Sandra-Lee,False,Maroubra,2012-07-15
1535170,Thalie,False,Ashfield,2011-12-26
2973746,Dagmar,False,Alexandria,2012-07-18
3004325,Mireille,False,Malabar,2012-07-20
3048738,Elise,False,Stanmore,2012-07-25
3046924,Contemporary Hotels,True,Darlinghurst,2012-07-24
3087031,Frances,True,Longueville,2012-07-29
3152466,Leah,False,,2012-08-04
3608297,Ruth,False,North Bondi,2012-09-18
2427911,Lennon,False,,2012-05-21
2166490,Dan,False,Darlinghurst,2012-04-18
3202540,Ruth,False,Waverly,2012-08-09
3213327,Bronwyn & Ben,False,Balmain,2012-08-10
602813,Belinda,False,,2011-05-19
944757,Dylan & Kate,True,Clovelly,2011-08-09
3275877,Elle,False,Maroubra,2012-08-16
3284546,Nan,True,Bondi Junction,2012-08-16
3287072,Gail,False,North Bondi,2012-08-17
3296933,Kristen,False,,2012-08-18
3303253,Dan,False,North Bondi,2012-08-19
1820335,Jolene,False,Potts Point,2012-02-27
1185139,Sophia,False,Darlinghurst,2011-09-20
3337868,Dante,True,Bondi Junction,2012-08-22
3337868,Dante,False,Bondi Junction,2012-08-22
2551056,Carolyn,True,Balmain,2012-06-05
2551056,,,,
3365507,Yolanda,False,Crows Nest,2012-08-25
576873,Morgan,True,Elizabeth Bay,2011-05-10
3446069,Helen,False,Lane Cove,2012-09-02
3456474,Anne & James,False,Glebe,2012-09-03
3437247,Max,False,Darlinghurst,2012-09-01
3554369,John,False,Vaucluse,2012-09-13
3579400,Tom,False,North Bondi,2012-09-15
3579902,Esti,False,Redfern,2012-09-16
3511362,Bevan & Jen,False,Manly,2012-09-08
3587767,Marek,False,Bondi,2012-09-16
3255027,Antoinette,False,Campsie,2012-08-14
3600837,Maryellen,True,,2012-09-18
2688277,Jennifer,False,Randwick,2012-06-20
2688277,Jennifer,True,Randwick,2012-06-20
3609508,Key & Clean Reservations,False,Darlinghurst,2012-09-18
3630693,The Chee Bondi,True,Bondi Beach,2012-09-20
3630693,The Chee,True,Bondi Beach,2012-09-20
3631357,Marianne And Martin,True,,2012-09-21
825199,Askar And Zara,False,,2011-07-15
3648078,Camille,False,Kingsford,2012-09-23
3677397,Lili,False,Surry Hills,2012-09-26
3705618,Veronica,False,,2012-09-29
3706591,Felicity,True,Balgowlah,2012-09-29
3750190,Gary,True,Balmain,2012-10-03
3764639,Wyatt,False,Annandale,2012-10-05
1428280,Carl,False,,2011-11-21
1428280,,,,
3796216,Adriana,False,Bronte,2012-10-08
3807624,Primrose,False,Darling Point,2012-10-09
3823022,Jeanette,True,Lilyfield,2012-10-10
3850988,Edy,False,,2012-10-12
3850988,Ed,False,,2012-10-12
3843912,Jan,False,Fairlight,2012-10-12
3870460,Matthew,False,Bondi,2012-10-14
3859129,Phil & Lisa,True,Clovelly,2012-10-13
1150262,Tamara,False,Surry Hills,2011-09-13
3881804,Carole,False,Rose Bay,2012-10-15
3222787,Carolyn,False,Bondi,2012-08-11
2532222,Guy,False,Maroubra,2012-06-03
3914302,Carly,False,Surry Hills,2012-10-18
3916228,Anna,False,Bondi Beach,2012-10-18
3591446,Simon,False,North Bondi,2012-09-17
3504022,Bronwen,False,Waterloo,2012-09-07
3941609,John,False,Lilyfield,2012-10-21
3941609,John,True,Lilyfield,2012-10-21
3943095,Sean,False,Bondi Beach,2012-10-22
3943527,Ines,False,Bondi Beach,2012-10-22
3720786,Lachlan,True,Millers Point,2012-09-30
334978,Cc,False,Erskineville,2011-01-04
3959391,Rafael,False,Bronte,2012-10-23
3645455,Tracey,True,Mosman,2012-09-22
3645455,Tracey,False,Mosman,2012-09-22
3969786,Olivia And Michael,True,Manly,2012-10-25
3969786,Olivia And Michael,False,Manly,2012-10-25
3976940,Jiro,False,Manly,2012-10-25
3976600,Sadao,False,,2012-10-25
3991115,Duane & Jenny,False,Rhodes,2012-10-27
4000268,Anna,False,,2012-10-28
4001925,Kaz,False,Stanmore,2012-10-29
3742271,Yair,False,Bondi,2012-10-03
4017705,Consuelo,False,Surry Hills,2012-10-30
3809995,Charlotte,True,Potts Point,2012-10-09
3932725,Paul,False,Bondi,2012-10-21
2424664,Toby,False,Newtown,2012-05-21
4059587,Emily,False,Petersham,2012-11-04
4068265,Daniela,False,Mosman,2012-11-05
1758567,Miles,False,Bondi Beach,2012-02-16
3564414,Paris,False,Redfern,2012-09-14
2594223,Danielle,False,,2012-06-10
2594223,,,,
4080377,Kylie,False,,2012-11-06
4072802,Summer,True,Kensington,2012-11-06
4088777,Holland,False,Manly,2012-11-07
2650727,Robbie,False,Mosman,2012-06-16
2650727,Robbie,True,Mosman,2012-06-16
4098267,Rolmar,False,Surry Hills,2012-11-08
4099460,Serena,False,Neutral Bay,2012-11-09
4099655,Hong,False,,2012-11-09
1918111,Mike,False,,2012-03-13
1918111,,,,
4135272,Trina,False,Waverly,2012-11-13
4142751,Arjay And Beth,True,,2012-11-13
4147111,Kaye & Michael,False,Balgowlah,2012-11-14
1596176,Komang,False,Overseas,2012-01-11
1852329,Rory,True,,2012-03-03
4170245,Irmke,False,,2012-11-16
4171361,Maxine,False,Enmore,2012-11-17
4176749,Kenneth,False,Paddington,2012-11-17
4177238,Cathy,False,Coogee,2012-11-18
589492,Kat,False,,2011-05-15
4178584,Sheena,False,Maroubra,2012-11-18
4185654,Vivian,True,Pyrmont,2012-11-18
4186062,Paula,False,,2012-11-18
4026506,Robert,True,Waterloo,2012-10-31
4116417,Gavin,False,Surry Hills,2012-11-11
4204417,Kristine,True,Overseas,2012-11-20
4204417,Kristine,False,Overseas,2012-11-20
4214125,Michelle,False,,2012-11-22
4219740,Julia,True,,2012-11-22
4228177,Kasia,False,Maroubra,2012-11-24
2444673,Annie,False,,2012-05-23
4234766,Cathal,False,Surry Hills,2012-11-25
4234893,Sophie,False,Bronte,2012-11-25
4220537,Scott,False,,2012-11-22
4240017,Gary,False,Coogee,2012-11-25
4244931,Lisa & Mark,False,,2012-11-26
4244931,Lisa & Mark,True,,2012-11-26
4256292,Greg,False,Annandale,2012-11-27
4269763,Hellen,False,Chippendale,2012-11-28
4276604,Mike,False,Tamarama,2012-11-29
1460480,Karren,False,Woollahra,2011-12-01
1460480,Karren,True,Woollahra,2011-12-01
4285221,Kate,False,Bondi Beach,2012-11-29
4292041,Ebony & Alex,True,,2012-11-30
4291456,Kathy,False,,2012-11-30
4298915,Awaba,False,Sydney,2012-12-01
4314951,Mark,False,,2012-12-03
4309979,Jane,False,,2012-12-03
4316472,Linda,False,Coogee,2012-12-03
2667699,Natacha,False,Darlington,2012-06-18
4326256,Simon,False,Bondi Junction,2012-12-04
4329572,Sam,False,,2012-12-05
4337967,Andy,True,Bronte,2012-12-06
4358703,Galina,False,Marrickville,2012-12-08
4358703,,,,
4360614,Michelle,False,Fairlight,2012-12-09
4365688,Lorna,False,,2012-12-09
4367219,Léo,False,,2012-12-09
4367105,Jan,False,Newtown,2012-12-09
1972133,Phillip,True,Darlinghurst,2012-03-19
1972133,Phillip,False,Darlinghurst,2012-03-19
4375372,John,False,Redfern,2012-12-10
657880,Kaz,False,Paddington,2011-06-02
4376496,Don,False,,2012-12-10
4376844,Joe,False,Waverly,2012-12-11
4378091,Toni,False,Lilyfield,2012-12-11
4384270,Michelle,False,,2012-12-11
4254184,Dinda,False,Waterloo,2012-11-26
4327952,Wati,True,Arncliffe,2012-12-04
4400248,Leon,False,Pyrmont,2012-12-13
4400248,Leon,True,Pyrmont,2012-12-13
4400248,,,,
4407571,Nici,False,Annandale,2012-12-14
4421010,Amy,True,,2012-12-16
4421400,Scott,False,Darlinghurst,2012-12-16
4374980,Tania,False,Randwick,2012-12-10
2577380,Louise,True,Darling Point,2012-06-07
2725174,Michele,False,Longueville,2012-06-24
1653786,Julie,False,North Bondi,2012-01-25
1653786,,,,
4455338,Bonnie,False,Potts Point,2012-12-20
4456548,Michelle,False,,2012-12-21
4458516,Francis,False,Bellevue Hill,2012-12-21
1940945,Peter,False,,2012-03-17
