index,property_type,room_type,accommodates,year_month,active_listings_rate,min_price_active,max_price_active,median_price_active,avg_price_active,distinct_hosts,superhost_rate,avg_review_score_active,active_listings,inactive_listings,total_stays,avg_estimated_revenue_per_active,pct_change_active_listings,pct_change_inactive_listings
32,Apartment,Entire home/apt,4,2020-06,100.0,0.0,5000.0,180.0,233.48362720403023,3830.0,12.140992167101828,92.8167657887284,4766.0,0.0,107489.0,5020.426353336131,-3.1497663076610394,
33,Apartment,Entire home/apt,4,2020-07,100.0,0.0,2799.0,180.0,241.50012843565375,3141.0,12.098057943330149,92.7234559333796,3894.0,0.0,88264.0,4987.073703133025,-18.29626521191775,
34,Apartment,Entire home/apt,5,2020-05,100.0,31.0,2440.0,194.0,240.55364372469634,764.0,12.30366492146597,90.56257901390644,988.0,0.0,19216.0,4527.402834008097,,
35,Apartment,Entire home/apt,5,2020-06,100.0,30.0,2440.0,197.0,240.6074074074074,750.0,12.4,90.79569892473118,945.0,0.0,19165.0,4759.216931216931,-4.352226720647778,
36,Apartment,Entire home/apt,5,2020-07,100.0,30.0,2711.0,198.0,243.82264665757162,615.0,12.357723577235772,90.75694444444444,733.0,0.0,15781.0,5065.9604365620735,-22.43386243386244,
37,Apartment,Entire home/apt,6,2020-05,100.0,28.0,5000.0,219.0,297.9873417721519,884.0,15.723981900452488,91.8988326848249,1267.0,0.0,23409.0,5184.254932912391,,
38,Apartment,Entire home/apt,6,2020-06,100.0,27.0,5000.0,220.0,302.23371335504885,863.0,15.179606025492468,92.1912512716175,1231.0,0.0,24267.0,5706.222583265638,-2.84135753749013,
39,Apartment,Entire home/apt,6,2020-07,100.0,27.0,5000.0,219.0,305.7950980392157,729.0,15.22633744855967,92.28255528255528,1022.0,0.0,20697.0,5822.756360078278,-16.978066612510155,
40,Apartment,Entire home/apt,7,2020-05,100.0,67.0,2001.0,250.0,320.8666666666667,123.0,17.073170731707318,91.25925925925925,165.0,0.0,2453.0,4619.981818181818,,
41,Apartment,Entire home/apt,7,2020-06,100.0,68.0,1999.0,259.0,341.64335664335664,112.0,15.178571428571427,91.66666666666667,143.0,0.0,2260.0,4707.573426573426,-13.33333333333333,
42,Apartment,Entire home/apt,7,2020-07,100.0,50.0,1041.0,250.0,304.47899159663865,98.0,16.3265306122449,91.34693877551021,119.0,0.0,1993.0,4698.151260504202,-16.78321678321678,
43,Apartment,Entire home/apt,8,2020-05,100.0,75.0,4663.0,246.5,358.65625,131.0,19.84732824427481,91.28484848484848,194.0,0.0,2798.0,5096.644329896907,,
44,Apartment,Entire home/apt,8,2020-06,100.0,75.0,4662.0,249.0,361.4475138121547,126.0,19.047619047619047,91.76,183.0,0.0,2903.0,5312.825136612022,-5.670103092783507,
45,Apartment,Entire home/apt,8,2020-07,100.0,75.0,4664.0,249.0,399.0379746835443,106.0,18.867924528301888,90.6,160.0,0.0,2390.0,5189.225,-12.568306010928964,
46,Apartment,Entire home/apt,9,2020-05,100.0,80.0,700.0,214.0,257.8857142857143,26.0,23.076923076923077,90.4375,35.0,0.0,620.0,4629.771428571428,,
47,Apartment,Entire home/apt,9,2020-06,100.0,80.0,699.0,222.0,258.05882352941177,24.0,20.833333333333336,90.46666666666667,34.0,0.0,600.0,4448.85294117647,-2.857142857142858,
48,Apartment,Entire home/apt,9,2020-07,100.0,81.0,701.0,201.0,241.53846153846155,20.0,15.0,90.04545454545455,26.0,0.0,434.0,3893.846153846154,-23.529411764705888,
49,Apartment,Entire home/apt,10,2020-05,100.0,90.0,1000.0,300.0,384.81481481481484,20.0,15.0,88.66666666666667,27.0,0.0,433.0,7504.962962962963,,
50,Apartment,Entire home/apt,10,2020-06,100.0,90.0,1000.0,310.0,388.0,21.0,14.285714285714285,88.52631578947368,26.0,0.0,408.0,6909.2692307692305,-3.703703703703709,
51,Apartment,Entire home/apt,10,2020-07,100.0,91.0,1001.0,299.0,418.7894736842105,17.0,17.647058823529413,86.5,19.0,0.0,263.0,6865.894736842105,-26.923076923076927,
